CHEBI:58284 CHEBI:35975
CHEBI:58308 CHEBI:35757
CHEBI:4075 CHEBI:26069
CHEBI:26619 CHEBI:25212
CHEBI:60399 CHEBI:24589
CHEBI:52882 CHEBI:52845
CHEBI:7478 CHEBI:35358,CHEBI:48585,CHEBI:27162
CHEBI:16122 CHEBI:37142
CHEBI:67557 CHEBI:33853,CHEBI:25106,CHEBI:35618,CHEBI:35681
CHEBI:66284 CHEBI:63353,CHEBI:36087,CHEBI:76424
CHEBI:24725 CHEBI:64708,CHEBI:26674
CHEBI:31291 CHEBI:64708,CHEBI:37384
CHEBI:62845 CHEBI:62846
CHEBI:68274 CHEBI:33853,CHEBI:24828,CHEBI:37141,CHEBI:23643
CHEBI:66389 CHEBI:48589,CHEBI:25698,CHEBI:25105,CHEBI:35681
CHEBI:66770 CHEBI:50860
CHEBI:33298 CHEBI:33296
CHEBI:52442 CHEBI:37449
CHEBI:67287 CHEBI:26893,CHEBI:36130,CHEBI:39434,CHEBI:47622,CHEBI:24129
CHEBI:27902 CHEBI:26895
CHEBI:27506 CHEBI:24796,CHEBI:24821
CHEBI:28098 CHEBI:24951
CHEBI:59709 CHEBI:36807,CHEBI:59693
CHEBI:59241 CHEBI:22480
CHEBI:68096 CHEBI:50860
CHEBI:69473 CHEBI:37581,CHEBI:38831,CHEBI:33566
CHEBI:30001 CHEBI:16733,CHEBI:9093
CHEBI:65598 CHEBI:33853,CHEBI:35618,CHEBI:38761,CHEBI:18946,CHEBI:26979,CHEBI:63567
CHEBI:16808 CHEBI:35179,CHEBI:24966
CHEBI:65455 CHEBI:51307,CHEBI:25384,CHEBI:25872
CHEBI:70778 CHEBI:25384,CHEBI:47857,CHEBI:35683
CHEBI:16685 CHEBI:23793
CHEBI:58000 CHEBI:35238,CHEBI:17061
CHEBI:57799 CHEBI:60038
CHEBI:47334 CHEBI:38260,CHEBI:36683
CHEBI:65584 CHEBI:46895,CHEBI:73477
CHEBI:21958 CHEBI:35272,CHEBI:26987
CHEBI:50293 CHEBI:22978
CHEBI:6566 CHEBI:35506,CHEBI:38524
CHEBI:67478 CHEBI:50860
CHEBI:66072 CHEBI:15734,CHEBI:36744
CHEBI:67141 CHEBI:35274
CHEBI:37879 CHEBI:37880
CHEBI:73546 CHEBI:25970,CHEBI:21575,CHEBI:23509,CHEBI:33855
CHEBI:3332 CHEBI:38970
CHEBI:74 CHEBI:28986
CHEBI:66232 CHEBI:51454,CHEBI:33308,CHEBI:38106,CHEBI:51026,CHEBI:24995,CHEBI:35681,CHEBI:38101,CHEBI:25698,CHEBI:33853
CHEBI:36033 CHEBI:26208,CHEBI:59202,CHEBI:15904
CHEBI:71009 CHEBI:35274,CHEBI:25697
CHEBI:3128 CHEBI:50921
CHEBI:64664 CHEBI:64638
CHEBI:70517 CHEBI:50860
CHEBI:58213 CHEBI:35274,CHEBI:25697
CHEBI:71970 CHEBI:24995,CHEBI:36141,CHEBI:51689,CHEBI:51026,CHEBI:26188
CHEBI:34334 CHEBI:17478,CHEBI:25389,CHEBI:33853
CHEBI:15882 CHEBI:33853
CHEBI:61960 CHEBI:33710
CHEBI:3032 CHEBI:48975,CHEBI:50995,CHEBI:36054,CHEBI:46668
CHEBI:51038 CHEBI:37921,CHEBI:38785,CHEBI:32863
CHEBI:32497 CHEBI:47956
CHEBI:52006 CHEBI:37929
CHEBI:114785 CHEBI:73477,CHEBI:38530
CHEBI:76200 CHEBI:26420,CHEBI:38207,CHEBI:36683
